date,sheshan_tidal_range_m,datong_discharge_mean_m3_s,wind_speed_mean_m_s,wind_speed_max_m_s
2023-08-25,1.4899999999999998,26300.0,3.2683098591549298,7.1
2023-08-26,1.4100000000000001,26791.666666666668,3.3600000000000003,8.5
2023-08-27,1.8200000000000003,27470.833333333332,8.727368421052633,14.2
2023-08-28,2.71,28204.444444444445,9.558527131782945,14.7
2023-08-29,3.8100000000000005,28925.0,6.861754385964912,10.4
2023-08-30,3.7700000000000005,29241.666666666668,8.293684210526315,13.8
2023-08-31,4.59,29775.0,6.761052631578947,10.4
