variable,station,large_tide_median,small_tide_median,difference_large_minus_small,ratio_large_over_small
current_speed_m_s,HSQ1,0.875,0.45166666666666666,0.42333333333333334,1.937269372693727
current_speed_m_s,HSQ2,0.61,0.33,0.27999999999999997,1.8484848484848484
current_speed_m_s,HSQ4,0.8025000000000001,0.375,0.4275000000000001,2.14
current_speed_m_s,HSQ5,0.8466666666666667,0.44291666666666674,0.40374999999999994,1.9115710253998115
current_speed_m_s,ACROSS_STATION_MEDIANS,0.8245833333333334,0.40895833333333337,0.4156250000000001,2.0163015792154866
salinity_psu_bottom_minus_surface,HSQ1,2.287499999999998,15.105500000000001,-12.818000000000003,0.1514349078150341
salinity_psu_bottom_minus_surface,HSQ2,4.920999999999999,14.46425,-9.54325,0.3402181239953678
salinity_psu_bottom_minus_surface,HSQ4,2.002250000000002,22.176,-20.17375,0.09028905122655131
salinity_psu_bottom_minus_surface,HSQ5,2.494738030426005,19.309508311411577,-16.81477028098557,0.12919738763890012
salinity_psu_bottom_minus_surface,ACROSS_STATION_MEDIANS,2.3911190152130013,17.207504155705788,-14.816385140492788,0.13895792170534718
ssc_g_l_mean,HSQ1,0.03795933535203187,0.02229922099737366,0.015660114354658212,1.7022718128360903
ssc_g_l_mean,HSQ2,0.025446024765998148,0.01148245568158624,0.013963569084411908,2.216078639589656
ssc_g_l_mean,HSQ4,0.10633829627747601,0.021067143147642756,0.08527115312983326,5.047589772008285
ssc_g_l_mean,HSQ5,0.27755310089371465,0.025472348175614428,0.2520807527181002,10.896251063316807
ssc_g_l_mean,ACROSS_STATION_MEDIANS,0.07214881581475394,0.02168318207250821,0.050465633742245726,3.327409029426099
ssc_g_l_bottom_minus_surface,HSQ1,0.1203652458547936,0.05753414734960301,0.0628310985051906,2.0920662145803774
ssc_g_l_bottom_minus_surface,HSQ2,0.091379128641137,0.028730330045660002,0.06264879859547699,3.1805805396565816
ssc_g_l_bottom_minus_surface,HSQ4,0.1492230917158937,0.009972952088424372,0.13925013962746935,14.962780367620264
ssc_g_l_bottom_minus_surface,HSQ5,0.39567333221506207,0.04052226362662595,0.35515106858843615,9.764344259264854
ssc_g_l_bottom_minus_surface,ACROSS_STATION_MEDIANS,0.13479416878534367,0.034626296836142975,0.1001678719492007,3.8928265827330786
