response,n,r2_space,r2_hydro,r2_process
do_reported_mean,128,0.4291350585744973,0.47659909708815373,0.5603468148722373
fdom_reported_mean,144,0.7885333839137415,0.8276836998809574,0.8558029434071908
chla_reported_mean,144,0.3611567706926042,0.3795224851939746,0.44327190365380886
